name,position_desc
CSIG17-大数据系统测试工程师（CSIG全资子公司）（武汉/长沙/西安）,"本科以上学历，3年以上大数据相关的开发/测试经验或对大数据有浓厚兴趣者优先考虑； 
熟悉大数据相关组件，包括spark,hive,es,clickhouse等，有spark，hive等调优经验者优先； 
有大数据集群部署经验优先，有丰富大数据场景经验，问题快速定位跟踪者优先。 
有数据湖相关开发测试经验者优先； 
熟悉linux系统，精通一种或多种脚本语言（如python，shell），熟悉CICD 有python，java等编写经验者优先； 
具备良好的团队合作精神，善于协调沟通，具备较强的问题定位和推动解决能力； 
具备较强的抗压能力，能面对大数据的机遇与挑战，在较大压力下保持工作激情"
CSIG17-腾讯云专项测试工程师（CSIG全资子公司）,"本科计算机科学或者相关领域的学历；
2年以上的软件开发经验；
熟悉面向对象、数据结构、算法架构、复杂问题的分析与解决；
熟悉至少一门面向对象语言，脚本语言python；
有使用压力测试和异常注入工具的经验。

首选的资格：
有超过两年混沌工程或者容量评估系统、全链路压测系统建设与实施的经验；
在设计与实施复杂软件系统并成功交付给客户有丰富的经验；
专业的软件工程实践知识，在软件开发生命周期中有丰富的实践，包括code reviews, source control management，编译，测试与运维；
通过与用户，其他技术团队，管理者沟通，收集并提炼需求， 描述软件的功能和技术设计。"
CSIG17-腾讯云专项测试工程师（CSIG全资子公司）,"本科计算机科学或者相关领域的学历；
3年以上的测试或软件开发经验；
对云计算、虚拟化等有深刻理解和测试经验优先；
有丰富后台、性能、协议或白盒测试经验者优先；
具备自动化测试经验，深刻理解自动化平台和持续集成体系建设者优先； 
熟练掌握Python/Shell等至少一门脚本语言有丰富实践经历；
具备良好的团队合作精神，善于协调沟通，具备较强的问题定位和推动解决能力； 
具备较强的抗压能力，能面对云计算的机遇与挑战，在较大压力下保持工作激情。"
CSIG17-音视频SDK系统测试工程师（CSIG全资子公司）,"1. 计算机相关专业本科以上学历，熟悉软件测试理论和方法;
2. 了解音频、视频、网络相关知识并具有相关测试经验，掌握以下全部或部分领域者优先:音质、画质、时延、卡顿、CPU、内存、流畅度 、网络流量等等;
3. 具备自动化测试经验，对质量体系、流程、测试风险把握，测试范畴的定义有很好的理解和应用;
4. 熟练掌握至少一种编程语言，包括但不限于 C/C++、Python、Shell、Web等;
5. 有测试效能工具、平台开发、丰富的手机端产品测试经验者优先。
"
CSIG17-Devops平台测试工程师（CSIG全资子公司）,"1. 有Devops，CI/CD相关经验优先；
2. 对软件工程能效、Devops、自动化工具平台建设相关领域有广泛的了解 ；
3. 熟悉Shell/Python/Go/Java语言中的至少一种编程语言，具备自动化脚本开发经验；
4. 熟悉软件测试基础知识、良好的测试用例设计&需求分析能力等；
5. 具备良好的沟通能力、抗压能力和团队合作意识。
注：此岗位为腾讯旗下全资子公司编制"
CSIG17-视频云高级测试工程师（CSIG全资子公司）,"【岗位要求】
1.计算机相关本科及以上学历，3年以上互联网项目测试经验，有带团队经验者优先
2.良好的代码基础，至少熟悉Python/Go/Java其中一种，能够熟练编写自动化用例。
3.熟悉性能测试，接口测试，安全测试，稳定性测试。
3.有较强的问题定位和推动能力，协调各个角色继续问题解决
4.对敏捷开发以及CI/CD有一定了解。
5.热爱学习，具有自我持续优化的驱动力，有点播、直播、短视频测试经验者优先。"
35948-风控平台产品系统测试工程师（CSIG全资子公司）（武汉）,"1、本科及以上学历，计算机或相关专业;
2、三年以上系统测试或测试开发经验，熟悉软件测试流程和规范；
3、熟悉Linux/Unix系统，具备shell/python脚本编程能力；
4、熟练掌握主流自动化测试的工具和方法，具备扎实的测试分析设计能力；
5、具有较强的逻辑分析与学习能力，良好的沟通能力和团队合作精神；
6、有风控类平台产品测试经验，尤其是决策引擎、隐私计算产品相关测试经验者优先；
7、具备性能测试、白盒测试经验者；
注：此岗位为腾讯集团CSIG全资子公司编制岗位"
TEG02-SDN控制器开发工程师,"大学本科或以上学历，计算机相关专业； 
3年以上服务器后端开发经验； 
5年以上一种主流后端语言编程经验：Java, 或Scala, 或Python 4；熟悉SOA和Web Services（REST, SOAP）系统框架；熟悉主流应用服务器（Tomcat, JBoss, Apache, Nginx, 等）； 
精通数据库设计和性能优化；熟悉主流RDBMS和NoSQL数据库（MySQL, MongoDB, Memcached, Redis等），以及数据库编程（SQL, JDBC, iBatis, OpenJPA, 等） 
熟悉常用工程工具：Jenkins, Maven/Git/SVN, Eclipse/IntelliJ等； 
熟悉设计模式，熟练掌握面向对象编程和事件驱动编程风格； 
有热情，酷爱技术，有良好的计划、沟通、组织协调能力、语言表达能力；较强的逻辑分析能力和应变能力；良好的团队合作精神； 
有敏捷开发（Agile/Scrum）经验者优先。"
TEG02-SDN控制器开发工程师（深圳）（深圳）,"大学本科或以上学历，计算机相关专业； 
3年以上服务器后端开发经验； 
5年以上一种主流后端语言编程经验：Java, 或Scala, 或Python 4；熟悉SOA和Web Services（REST, SOAP）系统框架；熟悉主流应用服务器（Tomcat, JBoss, Apache, Nginx, 等）； 
精通数据库设计和性能优化；熟悉主流RDBMS和NoSQL数据库（MySQL, MongoDB, Memcached, Redis等），以及数据库编程（SQL, JDBC, iBatis, OpenJPA, 等） 
熟悉常用工程工具：Jenkins, Maven/Git/SVN, Eclipse/IntelliJ等； 
熟悉设计模式，熟练掌握面向对象编程和事件驱动编程风格； 
有热情，酷爱技术，有良好的计划、沟通、组织协调能力、语言表达能力；较强的逻辑分析能力和应变能力；良好的团队合作精神； 
有敏捷开发（Agile/Scrum）经验者优先。"
TEG02-开放光网络SDN控制系统研发工程师,"大学本科或以上学历，计算机相关专业；3年以上服务器后端开发经验，5年以上一种主流后端语言编程经验：Java, go；熟悉微服务系统框架和K8S使用原理；精通数据库设计和性能优化，熟悉主流数据库（MySQL, MongoDB, Hbase, Redis等），以及数据库编程；熟悉常用工程工具：Maven/Git/SVN, Eclipse/IntelliJ等；有良好的团队合作能力，有强烈的主人翁意识推进事务进展；有Hadoop，Spark，Flink，Elasticsearch等大数据相关平台和组件使用经验者；有光网络控制系统、网元系统软件开发经验者优先。"
31871-腾讯云SSD测试工程师,"1.本科及以上计算机、电子、通讯工程等相关专业
2.具有学习和开放的心态，有良好的沟通能力、团队合作以及协调能力
3.具有丰富的测试理念和测试方法相关知识，具备良好的问题分析和解决能力
4.熟练掌握Linux及常见命令，掌握至少一项编程语言，不限于python/shell/C等
5.熟练掌握常见的代码管理和缺陷管理等工具
6.有以下相关经验或知识的优先考虑：
   (1) 有存储产品、存储协议、NVMe驱动等开发经验或测试经验
   (2) 熟悉NAND/NOR Flash，以及SSD FTL管理等相关知识
   (3) 熟悉SPDK/块存储/对象存储/数据库/KV存储引擎等相关知识"
TEG09-高级系统测试工程师（深圳）,"本科及以上学历，计算机或相关专业;
三年以上系统测试或测试开发经验，熟悉软件测试流程和规范；
熟悉Linux/Unix系统，熟悉C/C++编程语言，具备shell/python脚本编程能力；
熟练掌握主流自动化测试的工具和方法，具备扎实的测试分析设计能力；
具有较强的逻辑分析与学习能力，良好的沟通能力和团队合作精神；
具备性能测试、白盒测试经验者优先。"
TEG09-高级系统测试工程师（北京）,"本科及以上学历，计算机或相关专业;
三年以上系统测试或测试开发经验，熟悉软件测试流程和规范；
熟悉Linux/Unix系统，熟悉C/C++编程语言，具备shell/python脚本编程能力；
熟练掌握主流自动化测试的工具和方法，具备扎实的测试分析设计能力；
具有较强的逻辑分析与学习能力，良好的沟通能力和团队合作精神；
具备性能测试、白盒测试经验者优先。"
TEG02-云网络测试工程师（深圳）,"本科及以上学历；
3年以上网络设备测试工作经验，熟悉软件测试、系统测试流程以及相关的工具，需要有较强的质量意识和客户服务意识；
熟悉TCP/IP协议，熟悉二层三层协议，熟悉OSPF、BGP、ISIS等动态路由协议，熟悉IPSec VPN、SSL VPN、NAT、MPLS原理，并有较强的分析故障排查能力和丰富的处理经验；
熟悉SDN、NFV、VxLAN、ODL等网络技术及原理，熟悉x86软转发OVS/DPDK/VPP等技术及原理，有过相关项目经验尤佳；
熟悉Linux系统环境，熟练掌握Linux基本工具的使用，至少掌握一种自动化测试脚本语言（如python，shell，TCL等），能编写自动化测试程序；
对网络系统测试有浓厚的兴趣，并有持续深钻技术的学习能力；
思维缜密，逻辑清晰，沟通能力强，责任心强，良好的团队协作精神。"
TEG02-云网络测试工程师（北京）,"本科及以上学历；
3年以上网络设备测试工作经验，熟悉软件测试、系统测试流程以及相关的工具，需要有较强的质量意识和客户服务意识；
熟悉TCP/IP协议，熟悉二层三层协议，熟悉OSPF、BGP、ISIS等动态路由协议，熟悉IPSec VPN、SSL VPN、NAT、MPLS原理，并有较强的分析故障排查能力和丰富的处理经验；
熟悉SDN、NFV、VxLAN、ODL等网络技术及原理，熟悉x86软转发OVS/DPDK/VPP等技术及原理，有过相关项目经验尤佳；
熟悉Linux系统环境，熟练掌握Linux基本工具的使用，至少掌握一种自动化测试脚本语言（如python，shell，TCL等），能编写自动化测试程序；
对网络系统测试有浓厚的兴趣，并有持续深钻技术的学习能力；
思维缜密，逻辑清晰，沟通能力强，责任心强，良好的团队协作精神。"
18425-跨境业务测试工程师（深圳）,"大学本科及以上； 3年以上测试工作经验；
熟悉Unix/Linux工作环境，至少掌握一门常用脚本语言(如shell,python,php，perl等)；
熟练掌握常用数据库操作,最好有mysql实践经验;熟悉一门高级编程语言,要求至少可以参加代码检视,有C/C++经验优先；
具有强烈的责任感，良好的沟通和表达能力，优秀的抗压能力。
 
以下是可优先考虑条件：
 有性能测试经验者；
 熟练使用某种性能测试工具有自动化测试实践经验；
 熟悉一种以上自动化测试工具对开源测试工具有比较多的了解；
 有互联网软件工作经验，了解互联网行业,有金融或支付方面测试经验者优先。"
CSIG17-AI系统高级测试工程师（成都）,"1、计算机或软件相关专业，本科及以上学历，具备扎实的计算机和软件技术基础；
2、有扎实的测试基础，能独立负责一个产品线的测试工作；
3、有良好的学习能力和技术钻研能力，具有自我持续优化的驱动力，具有发现问题的灵敏嗅觉，具备针对复杂问题的分析和解决的能力；
4、具备良好的团队合作精神，善于协调沟通，具备较高的问题推动解决能力；
5、有ToB相关质量管理经验和较强项目管理能力者优先考虑；
6、有相关的自动化测试、专项测试或白盒测试工具和平台建设者优先。"
31498-天美宝可梦-游戏测试工程师（深圳）,"有3年以上软件测试经验，有游戏测试经验者优先,有moba游戏经验者优先。
熟悉项目开发及测试流程，熟练掌握用例设计的各类方法和技巧；
熟练掌握一门开发语言，有实际的开发工具经验，对游戏开发技术熟悉者优先；
对服务器端性能、前台性能、协议、安全等至少一类专项测试有了解和应用经验；
能基于代码层面理解程序实现，进行测试设计、影响面分析和问题跟进者尤佳。"
31498-天美竞速类手游高级测试工程师(深圳),"有2年以上软件测试经验，有手游测试经验者优先，有竞速类游戏经验者优先；
熟悉iOS或Android平台的相关技术，具备移动终端平台应用或游戏的测试经验；
熟悉项目开发及测试流程，熟练掌握用例设计的各类方法和技巧；
熟悉至少一门脚本语言，有自动化或者其他测试辅助脚本的编写经验；
对服务器端性能、前台性能、协议、安全等至少一类专项测试有了解和应用经验；
能基于代码层面理解程序实现，进行测试设计、影响面分析和问题跟进者尤佳。"
28937-移动游戏高级测试工程师（深圳）,"熟悉iOS或Android平台的相关技术，具备移动终端平台应用或游戏的测试经验；
熟悉项目开发及测试流程，熟练掌握用例设计的各类方法和技巧；
熟悉至少一门脚本语言，有自动化或者其他测试辅助脚本的编写经验；
对服务器端性能、前台性能、协议、安全等至少一类专项测试有了解和应用经验；
能基于代码层面理解程序实现，进行测试设计、影响面分析和问题跟进者尤佳。"
31871-腾讯云SSD测试工程师,"1.本科及以上计算机、电子、通讯工程等相关专业
2.具有学习和开放的心态，有良好的沟通能力、团队合作以及协调能力
3.具有丰富的测试理念和测试方法相关知识，具备良好的问题分析和解决能力
4.熟练掌握Linux及常见命令，掌握至少一项编程语言，不限于python/shell/C等
5.熟练掌握常见的代码管理和缺陷管理等工具
6.有以下相关经验或知识的优先考虑：
   (1) 有存储产品、存储协议、NVMe驱动等开发经验或测试经验
   (2) 熟悉NAND/NOR Flash，以及SSD FTL管理等相关知识
   (3) 熟悉SPDK/块存储/对象存储/数据库/KV存储引擎等相关知识"
TEG09-高级系统测试工程师（深圳）,"本科及以上学历，计算机或相关专业;
三年以上系统测试或测试开发经验，熟悉软件测试流程和规范；
熟悉Linux/Unix系统，熟悉C/C++编程语言，具备shell/python脚本编程能力；
熟练掌握主流自动化测试的工具和方法，具备扎实的测试分析设计能力；
具有较强的逻辑分析与学习能力，良好的沟通能力和团队合作精神；
具备性能测试、白盒测试经验者优先。"
TEG09-高级系统测试工程师（北京）,"本科及以上学历，计算机或相关专业;
三年以上系统测试或测试开发经验，熟悉软件测试流程和规范；
熟悉Linux/Unix系统，熟悉C/C++编程语言，具备shell/python脚本编程能力；
熟练掌握主流自动化测试的工具和方法，具备扎实的测试分析设计能力；
具有较强的逻辑分析与学习能力，良好的沟通能力和团队合作精神；
具备性能测试、白盒测试经验者优先。"
TEG02-云网络测试工程师（深圳）,"本科及以上学历；
3年以上网络设备测试工作经验，熟悉软件测试、系统测试流程以及相关的工具，需要有较强的质量意识和客户服务意识；
熟悉TCP/IP协议，熟悉二层三层协议，熟悉OSPF、BGP、ISIS等动态路由协议，熟悉IPSec VPN、SSL VPN、NAT、MPLS原理，并有较强的分析故障排查能力和丰富的处理经验；
熟悉SDN、NFV、VxLAN、ODL等网络技术及原理，熟悉x86软转发OVS/DPDK/VPP等技术及原理，有过相关项目经验尤佳；
熟悉Linux系统环境，熟练掌握Linux基本工具的使用，至少掌握一种自动化测试脚本语言（如python，shell，TCL等），能编写自动化测试程序；
对网络系统测试有浓厚的兴趣，并有持续深钻技术的学习能力；
思维缜密，逻辑清晰，沟通能力强，责任心强，良好的团队协作精神。"
TEG02-云网络测试工程师（北京）,"本科及以上学历；
3年以上网络设备测试工作经验，熟悉软件测试、系统测试流程以及相关的工具，需要有较强的质量意识和客户服务意识；
熟悉TCP/IP协议，熟悉二层三层协议，熟悉OSPF、BGP、ISIS等动态路由协议，熟悉IPSec VPN、SSL VPN、NAT、MPLS原理，并有较强的分析故障排查能力和丰富的处理经验；
熟悉SDN、NFV、VxLAN、ODL等网络技术及原理，熟悉x86软转发OVS/DPDK/VPP等技术及原理，有过相关项目经验尤佳；
熟悉Linux系统环境，熟练掌握Linux基本工具的使用，至少掌握一种自动化测试脚本语言（如python，shell，TCL等），能编写自动化测试程序；
对网络系统测试有浓厚的兴趣，并有持续深钻技术的学习能力；
思维缜密，逻辑清晰，沟通能力强，责任心强，良好的团队协作精神。"
18425-跨境业务测试工程师（深圳）,"大学本科及以上； 3年以上测试工作经验；
熟悉Unix/Linux工作环境，至少掌握一门常用脚本语言(如shell,python,php，perl等)；
熟练掌握常用数据库操作,最好有mysql实践经验;熟悉一门高级编程语言,要求至少可以参加代码检视,有C/C++经验优先；
具有强烈的责任感，良好的沟通和表达能力，优秀的抗压能力。
 
以下是可优先考虑条件：
 有性能测试经验者；
 熟练使用某种性能测试工具有自动化测试实践经验；
 熟悉一种以上自动化测试工具对开源测试工具有比较多的了解；
 有互联网软件工作经验，了解互联网行业,有金融或支付方面测试经验者优先。"
CSIG17-AI系统高级测试工程师（成都）,"1、计算机或软件相关专业，本科及以上学历，具备扎实的计算机和软件技术基础；
2、有扎实的测试基础，能独立负责一个产品线的测试工作；
3、有良好的学习能力和技术钻研能力，具有自我持续优化的驱动力，具有发现问题的灵敏嗅觉，具备针对复杂问题的分析和解决的能力；
4、具备良好的团队合作精神，善于协调沟通，具备较高的问题推动解决能力；
5、有ToB相关质量管理经验和较强项目管理能力者优先考虑；
6、有相关的自动化测试、专项测试或白盒测试工具和平台建设者优先。"
31498-天美宝可梦-游戏测试工程师（深圳）,"有3年以上软件测试经验，有游戏测试经验者优先,有moba游戏经验者优先。
熟悉项目开发及测试流程，熟练掌握用例设计的各类方法和技巧；
熟练掌握一门开发语言，有实际的开发工具经验，对游戏开发技术熟悉者优先；
对服务器端性能、前台性能、协议、安全等至少一类专项测试有了解和应用经验；
能基于代码层面理解程序实现，进行测试设计、影响面分析和问题跟进者尤佳。"
31498-天美竞速类手游高级测试工程师(深圳),"有2年以上软件测试经验，有手游测试经验者优先，有竞速类游戏经验者优先；
熟悉iOS或Android平台的相关技术，具备移动终端平台应用或游戏的测试经验；
熟悉项目开发及测试流程，熟练掌握用例设计的各类方法和技巧；
熟悉至少一门脚本语言，有自动化或者其他测试辅助脚本的编写经验；
对服务器端性能、前台性能、协议、安全等至少一类专项测试有了解和应用经验；
能基于代码层面理解程序实现，进行测试设计、影响面分析和问题跟进者尤佳。"
28937-移动游戏高级测试工程师（深圳）,"熟悉iOS或Android平台的相关技术，具备移动终端平台应用或游戏的测试经验；
熟悉项目开发及测试流程，熟练掌握用例设计的各类方法和技巧；
熟悉至少一门脚本语言，有自动化或者其他测试辅助脚本的编写经验；
对服务器端性能、前台性能、协议、安全等至少一类专项测试有了解和应用经验；
能基于代码层面理解程序实现，进行测试设计、影响面分析和问题跟进者尤佳。"
CSIG17-智慧零售测试工程师（杭州）,"本科以上学历，5年以上开发或测试经验；有外包团队管理、项目交付经验优先；
对微信小程序、大数据应用、电商零售行业产品测试等方面有测试经验优先；
有一定代码编写，自动化或开发经验者优先；
具备良好的团队合作精神，善于协调沟通，具备较强的问题定位和推动解决能力；
具备较强的抗压能力，能面对云计算的机遇与挑战，在较大压力下保持工作激情。"
TEG14-高级系统测试工程师（深圳）,"熟悉Go/python语言，有基本的Go/python语言开发能力；
了解docker的基本使用方法，了解cgroup和Namespace的一些特性，了解docker的相关概念和常见使用方法；
对Kubernetes 生态有一定了解和接触优先；
有一定的测试框架或测试平台开发经验优先；
有CI/CD落地的测试开发经验优先；
具备强大自我驱动力，勇于接受挑战和拥抱变化，保持持续学习技术的热情，乐于团队合作和技术分享。"
